experiment_id,video_id,model_name,technique_name,rag_enabled,gt_ingredient_count,pred_ingredient_count,true_positives,false_positives
1,DHKfyyITTE8,Llama 3.2 3B Instruct,zero-shot,false,7,10,7,3
2,DHm89ozTqeU,Llama 3.2 3B Instruct,zero-shot,false,1,4,1,3
3,DF4Fc8TTel4,Llama 3.2 3B Instruct,zero-shot,false,7,9,7,2
4,DDQnLI_zd75,Llama 3.2 3B Instruct,zero-shot,false,1,3,1,2
5,DCIwgyWvR4-,Llama 3.2 3B Instruct,zero-shot,false,3,6,3,3
6,C_9nDkNOgWS,Llama 3.2 3B Instruct,zero-shot,false,1,8,1,7
7,C8f7YMXS75g,Llama 3.2 3B Instruct,zero-shot,false,1,4,1,3
8,C7kt-JZyx8J,Llama 3.2 3B Instruct,zero-shot,false,3,11,4,7
9,C7F03BqSAng,Llama 3.2 3B Instruct,zero-shot,false,3,8,3,5
11,DWArADckv2A,Llama 3.2 3B Instruct,zero-shot,false,0,8,0,8
12,DV5BZafjOq4,Llama 3.2 3B Instruct,zero-shot,false,1,9,1,8
15,DVU9gqREi88,Llama 3.2 3B Instruct,zero-shot,false,7,8,8,2
16,DWDOV3Ukq2t,Llama 3.2 3B Instruct,zero-shot,false,7,7,7,0
17,DVxNpsVgbBG,Llama 3.2 3B Instruct,zero-shot,false,3,8,3,5
18,DVutKvujazg,Llama 3.2 3B Instruct,zero-shot,false,10,11,10,2
19,DVphyIijuJ_,Llama 3.2 3B Instruct,zero-shot,false,8,11,8,3
20,DVkdLI3FtfP,Llama 3.2 3B Instruct,zero-shot,false,0,8,0,8
21,DSuE2wWEfXr,Llama 3.2 3B Instruct,zero-shot,false,2,5,2,3
22,DIxmuuyz0sC,Llama 3.2 3B Instruct,zero-shot,false,0,5,0,5
23,DE13y7pT_jx,Llama 3.2 3B Instruct,zero-shot,false,12,11,14,0
24,C67f7RfyFAV,Llama 3.2 3B Instruct,zero-shot,false,3,8,3,5
25,C6I4GVsLgnf,Llama 3.2 3B Instruct,zero-shot,false,1,4,1,3
26,C3tobkQJ2nA,Llama 3.2 3B Instruct,zero-shot,false,3,6,3,3
27,C0suZXkxaBG,Llama 3.2 3B Instruct,zero-shot,false,9,14,9,6
28,CxReOIZSoIV,Llama 3.2 3B Instruct,zero-shot,false,5,7,5,2
29,DElwUdQz-v2,Llama 3.2 3B Instruct,zero-shot,false,3,12,3,9
30,C9YrfhUS2lK,Llama 3.2 3B Instruct,zero-shot,false,7,7,7,0
31,DVP2N0hkp7Y,Llama 3.2 3B Instruct,zero-shot,false,12,21,12,11
32,DR6OtTFksZm,Llama 3.2 3B Instruct,zero-shot,false,4,11,4,8
33,DNMxd6Lzy1f,Llama 3.2 3B Instruct,zero-shot,false,3,11,3,8
34,DGw2dWCzWyw,Llama 3.2 3B Instruct,zero-shot,false,1,4,1,3
35,DGuVfoxTYDz,Llama 3.2 3B Instruct,zero-shot,false,2,2,2,0
36,CzTIQqfL2xY,Llama 3.2 3B Instruct,zero-shot,false,11,12,13,1
37,CvyhUe2OHtM,Llama 3.2 3B Instruct,zero-shot,false,9,11,9,2
38,CveBqfspTjD,Llama 3.2 3B Instruct,zero-shot,false,0,17,0,17
39,Ct0jllVrFj4,Llama 3.2 3B Instruct,zero-shot,false,2,16,2,14
40,CrGk9SDpNHM,Llama 3.2 3B Instruct,zero-shot,false,1,13,1,12
41,DHKfyyITTE8,Phi-4-mini 3.8B Instruct,zero-shot,false,2,11,2,9
42,DHm89ozTqeU,Phi-4-mini 3.8B Instruct,zero-shot,false,0,4,0,4
45,DCIwgyWvR4-,Phi-4-mini 3.8B Instruct,zero-shot,false,2,4,3,1
46,C_9nDkNOgWS,Phi-4-mini 3.8B Instruct,zero-shot,false,0,8,0,8
47,C8f7YMXS75g,Phi-4-mini 3.8B Instruct,zero-shot,false,2,5,2,3
48,C7kt-JZyx8J,Phi-4-mini 3.8B Instruct,zero-shot,false,3,10,3,7
49,C7F03BqSAng,Phi-4-mini 3.8B Instruct,zero-shot,false,4,8,4,4
50,C6uo2tySRev,Phi-4-mini 3.8B Instruct,zero-shot,false,5,6,5,1
51,DWArADckv2A,Phi-4-mini 3.8B Instruct,zero-shot,false,1,6,1,5
52,DV5BZafjOq4,Phi-4-mini 3.8B Instruct,zero-shot,false,1,5,1,4
53,DV2cZqiGRUl,Phi-4-mini 3.8B Instruct,zero-shot,false,8,12,8,4
54,DVxWajnjfAI,Phi-4-mini 3.8B Instruct,zero-shot,false,8,13,8,6
55,DVU9gqREi88,Phi-4-mini 3.8B Instruct,zero-shot,false,2,8,2,6
56,DWDOV3Ukq2t,Phi-4-mini 3.8B Instruct,zero-shot,false,3,8,4,4
57,DVxNpsVgbBG,Phi-4-mini 3.8B Instruct,zero-shot,false,1,6,1,5
59,DVphyIijuJ_,Phi-4-mini 3.8B Instruct,zero-shot,false,8,9,8,1
60,DVkdLI3FtfP,Phi-4-mini 3.8B Instruct,zero-shot,false,0,11,0,11
61,DSuE2wWEfXr,Phi-4-mini 3.8B Instruct,zero-shot,false,2,5,2,3
62,DIxmuuyz0sC,Phi-4-mini 3.8B Instruct,zero-shot,false,1,9,1,8
63,DE13y7pT_jx,Phi-4-mini 3.8B Instruct,zero-shot,false,6,12,8,6
64,C67f7RfyFAV,Phi-4-mini 3.8B Instruct,zero-shot,false,3,7,3,4
65,C6I4GVsLgnf,Phi-4-mini 3.8B Instruct,zero-shot,false,3,4,3,1
66,C3tobkQJ2nA,Phi-4-mini 3.8B Instruct,zero-shot,false,2,5,2,3
67,C0suZXkxaBG,Phi-4-mini 3.8B Instruct,zero-shot,false,7,10,8,3
69,DElwUdQz-v2,Phi-4-mini 3.8B Instruct,zero-shot,false,1,7,1,6
70,C9YrfhUS2lK,Phi-4-mini 3.8B Instruct,zero-shot,false,4,5,4,1
71,DVP2N0hkp7Y,Phi-4-mini 3.8B Instruct,zero-shot,false,13,12,13,2
72,DR6OtTFksZm,Phi-4-mini 3.8B Instruct,zero-shot,false,10,18,10,14
73,DNMxd6Lzy1f,Phi-4-mini 3.8B Instruct,zero-shot,false,2,12,2,10
74,DGw2dWCzWyw,Phi-4-mini 3.8B Instruct,zero-shot,false,4,4,4,1
75,DGuVfoxTYDz,Phi-4-mini 3.8B Instruct,zero-shot,false,0,5,0,5
76,CzTIQqfL2xY,Phi-4-mini 3.8B Instruct,zero-shot,false,12,14,16,2
77,CvyhUe2OHtM,Phi-4-mini 3.8B Instruct,zero-shot,false,7,11,7,4
78,CveBqfspTjD,Phi-4-mini 3.8B Instruct,zero-shot,false,7,12,7,5
79,Ct0jllVrFj4,Phi-4-mini 3.8B Instruct,zero-shot,false,2,14,2,12
83,DF4Fc8TTel4,Qwen 2.5 3B Instruct,zero-shot,false,7,9,7,2
84,DDQnLI_zd75,Qwen 2.5 3B Instruct,zero-shot,false,1,3,1,2
85,DCIwgyWvR4-,Qwen 2.5 3B Instruct,zero-shot,false,3,5,3,2
86,C_9nDkNOgWS,Qwen 2.5 3B Instruct,zero-shot,false,6,8,6,2
87,C8f7YMXS75g,Qwen 2.5 3B Instruct,zero-shot,false,1,4,1,3
88,C7kt-JZyx8J,Qwen 2.5 3B Instruct,zero-shot,false,1,6,1,5
89,C7F03BqSAng,Qwen 2.5 3B Instruct,zero-shot,false,4,8,4,4
90,C6uo2tySRev,Qwen 2.5 3B Instruct,zero-shot,false,4,5,4,1
91,DWArADckv2A,Qwen 2.5 3B Instruct,zero-shot,false,0,8,0,8
92,DV5BZafjOq4,Qwen 2.5 3B Instruct,zero-shot,false,1,4,1,3
94,DVxWajnjfAI,Qwen 2.5 3B Instruct,zero-shot,false,0,17,0,17
95,DVU9gqREi88,Qwen 2.5 3B Instruct,zero-shot,false,5,8,5,5
96,DWDOV3Ukq2t,Qwen 2.5 3B Instruct,zero-shot,false,2,5,2,3
97,DVxNpsVgbBG,Qwen 2.5 3B Instruct,zero-shot,false,5,6,5,1
98,DVutKvujazg,Qwen 2.5 3B Instruct,zero-shot,false,8,10,8,3
99,DVphyIijuJ_,Qwen 2.5 3B Instruct,zero-shot,false,8,9,8,1
100,DVkdLI3FtfP,Qwen 2.5 3B Instruct,zero-shot,false,1,8,1,7
101,DSuE2wWEfXr,Qwen 2.5 3B Instruct,zero-shot,false,2,5,2,3
102,DIxmuuyz0sC,Qwen 2.5 3B Instruct,zero-shot,false,2,13,2,11
105,C6I4GVsLgnf,Qwen 2.5 3B Instruct,zero-shot,false,0,4,0,4
106,C3tobkQJ2nA,Qwen 2.5 3B Instruct,zero-shot,false,0,5,0,5
107,C0suZXkxaBG,Qwen 2.5 3B Instruct,zero-shot,false,12,16,14,4
108,CxReOIZSoIV,Qwen 2.5 3B Instruct,zero-shot,false,5,7,5,2
109,DElwUdQz-v2,Qwen 2.5 3B Instruct,zero-shot,false,2,9,2,7
110,C9YrfhUS2lK,Qwen 2.5 3B Instruct,zero-shot,false,6,7,6,1
111,DVP2N0hkp7Y,Qwen 2.5 3B Instruct,zero-shot,false,0,16,0,16
112,DR6OtTFksZm,Qwen 2.5 3B Instruct,zero-shot,false,16,12,18,3
113,DNMxd6Lzy1f,Qwen 2.5 3B Instruct,zero-shot,false,2,7,2,5
115,DGuVfoxTYDz,Qwen 2.5 3B Instruct,zero-shot,false,7,6,7,0
116,CzTIQqfL2xY,Qwen 2.5 3B Instruct,zero-shot,false,2,13,2,11
117,CvyhUe2OHtM,Qwen 2.5 3B Instruct,zero-shot,false,8,11,8,3
118,CveBqfspTjD,Qwen 2.5 3B Instruct,zero-shot,false,2,11,2,9
120,CrGk9SDpNHM,Qwen 2.5 3B Instruct,zero-shot,false,11,13,11,2
121,DHKfyyITTE8,Gemma-SEA-LION v4 4B,zero-shot,false,0,9,0,9
124,DDQnLI_zd75,Gemma-SEA-LION v4 4B,zero-shot,false,1,3,1,2
125,DCIwgyWvR4-,Gemma-SEA-LION v4 4B,zero-shot,false,2,6,2,4
126,C_9nDkNOgWS,Gemma-SEA-LION v4 4B,zero-shot,false,0,8,0,8
127,C8f7YMXS75g,Gemma-SEA-LION v4 4B,zero-shot,false,3,4,3,1
128,C7kt-JZyx8J,Gemma-SEA-LION v4 4B,zero-shot,false,7,10,7,3
129,C7F03BqSAng,Gemma-SEA-LION v4 4B,zero-shot,false,4,8,4,4
131,DWArADckv2A,Gemma-SEA-LION v4 4B,zero-shot,false,0,3,0,3
132,DV5BZafjOq4,Gemma-SEA-LION v4 4B,zero-shot,false,2,7,2,5
133,DV2cZqiGRUl,Gemma-SEA-LION v4 4B,zero-shot,false,5,12,5,7
134,DVxWajnjfAI,Gemma-SEA-LION v4 4B,zero-shot,false,0,12,0,12
135,DVU9gqREi88,Gemma-SEA-LION v4 4B,zero-shot,false,8,11,8,5
136,DWDOV3Ukq2t,Gemma-SEA-LION v4 4B,zero-shot,false,1,9,2,7
137,DVxNpsVgbBG,Gemma-SEA-LION v4 4B,zero-shot,false,6,7,6,1
138,DVutKvujazg,Gemma-SEA-LION v4 4B,zero-shot,false,0,8,0,8
139,DVphyIijuJ_,Gemma-SEA-LION v4 4B,zero-shot,false,6,9,6,3
140,DVkdLI3FtfP,Gemma-SEA-LION v4 4B,zero-shot,false,5,12,5,7
141,DSuE2wWEfXr,Gemma-SEA-LION v4 4B,zero-shot,false,2,5,2,3
142,DIxmuuyz0sC,Gemma-SEA-LION v4 4B,zero-shot,false,0,11,0,11
145,C6I4GVsLgnf,Gemma-SEA-LION v4 4B,zero-shot,false,1,4,1,3
146,C3tobkQJ2nA,Gemma-SEA-LION v4 4B,zero-shot,false,3,5,3,2
148,CxReOIZSoIV,Gemma-SEA-LION v4 4B,zero-shot,false,2,8,2,6
149,DElwUdQz-v2,Gemma-SEA-LION v4 4B,zero-shot,false,0,11,0,11
150,C9YrfhUS2lK,Gemma-SEA-LION v4 4B,zero-shot,false,1,7,1,6
152,DR6OtTFksZm,Gemma-SEA-LION v4 4B,zero-shot,false,14,13,14,7
153,DNMxd6Lzy1f,Gemma-SEA-LION v4 4B,zero-shot,false,1,11,1,10
154,DGw2dWCzWyw,Gemma-SEA-LION v4 4B,zero-shot,false,2,3,2,1
155,DGuVfoxTYDz,Gemma-SEA-LION v4 4B,zero-shot,false,2,2,2,0
156,CzTIQqfL2xY,Gemma-SEA-LION v4 4B,zero-shot,false,4,10,4,6
157,CvyhUe2OHtM,Gemma-SEA-LION v4 4B,zero-shot,false,4,20,6,14
158,CveBqfspTjD,Gemma-SEA-LION v4 4B,zero-shot,false,5,9,5,4
159,Ct0jllVrFj4,Gemma-SEA-LION v4 4B,zero-shot,false,0,16,0,16
160,CrGk9SDpNHM,Gemma-SEA-LION v4 4B,zero-shot,false,12,18,14,5
161,DHKfyyITTE8,MedGemma 4B,zero-shot,false,2,8,2,6
162,DHm89ozTqeU,MedGemma 4B,zero-shot,false,0,4,0,4
163,DF4Fc8TTel4,MedGemma 4B,zero-shot,false,3,9,3,6
164,DDQnLI_zd75,MedGemma 4B,zero-shot,false,1,3,1,2
165,DCIwgyWvR4-,MedGemma 4B,zero-shot,false,3,7,3,4
166,C_9nDkNOgWS,MedGemma 4B,zero-shot,false,8,11,8,3
167,C8f7YMXS75g,MedGemma 4B,zero-shot,false,3,5,4,1
169,C7F03BqSAng,MedGemma 4B,zero-shot,false,5,9,5,4
170,C6uo2tySRev,MedGemma 4B,zero-shot,false,3,7,3,4
171,DWArADckv2A,MedGemma 4B,zero-shot,false,2,6,2,4
172,DV5BZafjOq4,MedGemma 4B,zero-shot,false,5,5,5,0
173,DV2cZqiGRUl,MedGemma 4B,zero-shot,false,5,9,5,4
174,DVxWajnjfAI,MedGemma 4B,zero-shot,false,0,5,0,5
175,DVU9gqREi88,MedGemma 4B,zero-shot,false,2,7,2,5
176,DWDOV3Ukq2t,MedGemma 4B,zero-shot,false,7,7,7,0
177,DVxNpsVgbBG,MedGemma 4B,zero-shot,false,4,6,4,2
178,DVutKvujazg,MedGemma 4B,zero-shot,false,11,12,11,3
179,DVphyIijuJ_,MedGemma 4B,zero-shot,false,3,8,3,5
180,DVkdLI3FtfP,MedGemma 4B,zero-shot,false,1,7,1,6
181,DSuE2wWEfXr,MedGemma 4B,zero-shot,false,1,5,1,4
182,DIxmuuyz0sC,MedGemma 4B,zero-shot,false,4,9,4,5
184,C67f7RfyFAV,MedGemma 4B,zero-shot,false,0,7,0,7
185,C6I4GVsLgnf,MedGemma 4B,zero-shot,false,2,4,2,2
186,C3tobkQJ2nA,MedGemma 4B,zero-shot,false,0,5,0,5
187,C0suZXkxaBG,MedGemma 4B,zero-shot,false,3,7,5,4
189,DElwUdQz-v2,MedGemma 4B,zero-shot,false,1,7,1,6
190,C9YrfhUS2lK,MedGemma 4B,zero-shot,false,7,7,7,0
191,DVP2N0hkp7Y,MedGemma 4B,zero-shot,false,11,12,11,5
192,DR6OtTFksZm,MedGemma 4B,zero-shot,false,13,10,13,3
193,DNMxd6Lzy1f,MedGemma 4B,zero-shot,false,8,12,9,4
194,DGw2dWCzWyw,MedGemma 4B,zero-shot,false,3,4,3,1
195,DGuVfoxTYDz,MedGemma 4B,zero-shot,false,0,6,0,6
196,CzTIQqfL2xY,MedGemma 4B,zero-shot,false,11,13,11,2
197,CvyhUe2OHtM,MedGemma 4B,zero-shot,false,8,11,8,3
198,CveBqfspTjD,MedGemma 4B,zero-shot,false,1,11,1,10
199,Ct0jllVrFj4,MedGemma 4B,zero-shot,false,0,14,0,14
200,CrGk9SDpNHM,MedGemma 4B,zero-shot,false,11,13,11,2
201,DHKfyyITTE8,Llama 3.2 3B Instruct,few-shot,false,6,10,6,4
202,DHm89ozTqeU,Llama 3.2 3B Instruct,few-shot,false,1,5,1,4
203,DF4Fc8TTel4,Llama 3.2 3B Instruct,few-shot,false,8,9,8,1
204,DDQnLI_zd75,Llama 3.2 3B Instruct,few-shot,false,1,4,1,3
205,DCIwgyWvR4-,Llama 3.2 3B Instruct,few-shot,false,3,6,3,3
206,C_9nDkNOgWS,Llama 3.2 3B Instruct,few-shot,false,7,8,7,1
207,C8f7YMXS75g,Llama 3.2 3B Instruct,few-shot,false,3,4,3,1
208,C7kt-JZyx8J,Llama 3.2 3B Instruct,few-shot,false,8,10,8,2
209,C7F03BqSAng,Llama 3.2 3B Instruct,few-shot,false,7,8,7,1
210,C6uo2tySRev,Llama 3.2 3B Instruct,few-shot,false,4,6,4,2
211,DWArADckv2A,Llama 3.2 3B Instruct,few-shot,false,4,7,4,3
212,DV5BZafjOq4,Llama 3.2 3B Instruct,few-shot,false,1,5,1,4
213,DV2cZqiGRUl,Llama 3.2 3B Instruct,few-shot,false,5,10,5,5
214,DVxWajnjfAI,Llama 3.2 3B Instruct,few-shot,false,5,9,5,5
215,DVU9gqREi88,Llama 3.2 3B Instruct,few-shot,false,6,10,6,4
216,DWDOV3Ukq2t,Llama 3.2 3B Instruct,few-shot,false,6,7,6,1
217,DVxNpsVgbBG,Llama 3.2 3B Instruct,few-shot,false,4,5,4,1
218,DVutKvujazg,Llama 3.2 3B Instruct,few-shot,false,5,5,5,1
219,DVphyIijuJ_,Llama 3.2 3B Instruct,few-shot,false,3,6,3,3
220,DVkdLI3FtfP,Llama 3.2 3B Instruct,few-shot,false,3,7,3,4
221,DSuE2wWEfXr,Llama 3.2 3B Instruct,few-shot,false,3,6,3,3
222,DIxmuuyz0sC,Llama 3.2 3B Instruct,few-shot,false,5,8,5,3
223,DE13y7pT_jx,Llama 3.2 3B Instruct,few-shot,false,7,9,7,4
224,C67f7RfyFAV,Llama 3.2 3B Instruct,few-shot,false,4,8,4,4
225,C6I4GVsLgnf,Llama 3.2 3B Instruct,few-shot,false,2,4,2,2
226,C3tobkQJ2nA,Llama 3.2 3B Instruct,few-shot,false,3,5,3,2
227,C0suZXkxaBG,Llama 3.2 3B Instruct,few-shot,false,8,11,10,3
228,CxReOIZSoIV,Llama 3.2 3B Instruct,few-shot,false,3,8,3,5
229,DElwUdQz-v2,Llama 3.2 3B Instruct,few-shot,false,7,12,8,5
230,C9YrfhUS2lK,Llama 3.2 3B Instruct,few-shot,false,6,7,6,1
231,DVP2N0hkp7Y,Llama 3.2 3B Instruct,few-shot,false,15,13,15,1
232,DR6OtTFksZm,Llama 3.2 3B Instruct,few-shot,false,9,10,9,6
233,DNMxd6Lzy1f,Llama 3.2 3B Instruct,few-shot,false,8,9,9,0
234,DGw2dWCzWyw,Llama 3.2 3B Instruct,few-shot,false,3,3,3,0
235,DGuVfoxTYDz,Llama 3.2 3B Instruct,few-shot,false,5,4,5,0
236,CzTIQqfL2xY,Llama 3.2 3B Instruct,few-shot,false,8,12,9,5
237,CvyhUe2OHtM,Llama 3.2 3B Instruct,few-shot,false,6,12,6,6
238,CveBqfspTjD,Llama 3.2 3B Instruct,few-shot,false,6,10,6,4
239,Ct0jllVrFj4,Llama 3.2 3B Instruct,few-shot,false,4,11,4,7
240,CrGk9SDpNHM,Llama 3.2 3B Instruct,few-shot,false,11,14,16,0
241,DHKfyyITTE8,Phi-4-mini 3.8B Instruct,few-shot,false,6,9,7,3
242,DHm89ozTqeU,Phi-4-mini 3.8B Instruct,few-shot,false,2,6,2,4
243,DF4Fc8TTel4,Phi-4-mini 3.8B Instruct,few-shot,false,6,8,6,2
244,DDQnLI_zd75,Phi-4-mini 3.8B Instruct,few-shot,false,1,3,1,2
245,DCIwgyWvR4-,Phi-4-mini 3.8B Instruct,few-shot,false,5,6,5,1
246,C_9nDkNOgWS,Phi-4-mini 3.8B Instruct,few-shot,false,7,8,7,1
247,C8f7YMXS75g,Phi-4-mini 3.8B Instruct,few-shot,false,2,6,2,4
248,C7kt-JZyx8J,Phi-4-mini 3.8B Instruct,few-shot,false,9,9,9,0
249,C7F03BqSAng,Phi-4-mini 3.8B Instruct,few-shot,false,8,8,8,0
250,C6uo2tySRev,Phi-4-mini 3.8B Instruct,few-shot,false,4,6,4,2
251,DWArADckv2A,Phi-4-mini 3.8B Instruct,few-shot,false,6,8,6,2
252,DV5BZafjOq4,Phi-4-mini 3.8B Instruct,few-shot,false,5,6,5,1
253,DV2cZqiGRUl,Phi-4-mini 3.8B Instruct,few-shot,false,5,12,5,7
254,DVxWajnjfAI,Phi-4-mini 3.8B Instruct,few-shot,false,8,11,10,4
255,DVU9gqREi88,Phi-4-mini 3.8B Instruct,few-shot,false,8,12,8,6
256,DWDOV3Ukq2t,Phi-4-mini 3.8B Instruct,few-shot,false,7,7,7,0
257,DVxNpsVgbBG,Phi-4-mini 3.8B Instruct,few-shot,false,4,6,4,2
258,DVutKvujazg,Phi-4-mini 3.8B Instruct,few-shot,false,7,10,7,4
259,DVphyIijuJ_,Phi-4-mini 3.8B Instruct,few-shot,false,5,10,5,5
260,DVkdLI3FtfP,Phi-4-mini 3.8B Instruct,few-shot,false,6,10,6,4
261,DSuE2wWEfXr,Phi-4-mini 3.8B Instruct,few-shot,false,2,5,2,3
262,DIxmuuyz0sC,Phi-4-mini 3.8B Instruct,few-shot,false,4,8,4,4
263,DE13y7pT_jx,Phi-4-mini 3.8B Instruct,few-shot,false,12,11,12,1
264,C67f7RfyFAV,Phi-4-mini 3.8B Instruct,few-shot,false,3,8,3,5
265,C6I4GVsLgnf,Phi-4-mini 3.8B Instruct,few-shot,false,2,4,2,2
266,C3tobkQJ2nA,Phi-4-mini 3.8B Instruct,few-shot,false,2,5,2,3
